,HY_id,HY_tipo,HY_metros_totales,HY_num_banos,HY_num_terrazas,HY_trastero,HY_num_garajes,HY_precio,% Descuento,IDEA_area,IDEA_poblacion,IDEA_densidad,IDEA_pc_1960,IDEA_pc_1960_69,IDEA_pc_1970_79,IDEA_pc_1980_89,IDEA_pc_1990_99,IDEA_pc_2000_10,IDEA_pc_comercio,IDEA_pc_industria,IDEA_pc_oficina,IDEA_pc_otros,IDEA_pc_residencial,IDEA_pc_trast_parking,IDEA_ind_tienda,IDEA_ind_turismo,IDEA_ind_alimentacion,IDEA_ind_riqueza,IDEA_rent_alquiler,IDEA_ind_elasticidad,IDEA_ind_liquidez,IDEA_unitprice_sale_residential,IDEA_price_sale_residential,IDEA_stock_sale_residential,IDEA_demand_sale_residential,IDEA_unitprice_rent_residential,IDEA_price_rent_residential,IDEA_stock_rent_residential,IDEA_demand_rent_residential,GA_page_views,GA_mean_bounce,GA_exit_rate,TARGET,num_images,image_brightness,piscina,has_image,descr_len,has_description,active_week,indicador_demanda_zona,diff_precio_zona
0,6028499,Garaje,35.0,0,0,0,0,12300.0,0.0,670.87,13372.0,19.93,0.0,0.0,0.0,0.27,0.31,0.41,0.01,0.0,0.0,0.1,0.55,0.34,0.2,0.6,0.2,0.2,4.21,2.0,1.0,1043.31,163841.89,3417.0,48.34,5.09,626.38,237.0,51.01,71,7.14,10.65,32.16,5.0,0.464256862745098,0,1,397.0,1,44,99.35,-0.997855074966307
1,6028500,Casa de pueblo,151.98,2,0,0,0,115000.0,-8.0,2216.24,1507.0,0.68,0.12,0.12,0.18,0.18,0.18,0.22,0.02,0.0,0.0,0.06,0.57,0.35,0.0,0.0,0.0,0.17,4.63,2.0,0.0,708.18,121250.0,33.0,44.72,4.08,700.0,6.0,50.69,684,16.36,5.25,30.71,3.0,0.525781045751634,0,1,0.0,0,46,95.41,-0.9937593524921211
2,6028502,Piso,102.78,1,0,0,1,88000.0,-5.88,2040.53,5810.0,2.85,0.15,0.15,0.12,0.1,0.11,0.36,0.03,0.05,0.0,0.17,0.59,0.17,0.76,0.08,0.15,0.16,6.52,3.0,0.0,1080.75,144013.8,393.0,49.51,4.43,525.0,15.0,51.82,651,15.12,11.21,63.48,10.0,0.4741996732026143,0,1,226.0,1,46,101.33,-0.9940547523651662
3,6028512,Garaje,12.46,0,0,0,0,5800.0,0.0,905.44,7004.0,7.74,0.07,0.07,0.04,0.04,0.17,0.62,0.01,0.01,0.0,0.06,0.45,0.47,0.51,0.06,0.43,0.31,4.39,3.0,0.0,1133.81,229375.0,654.0,49.95,5.03,863.17,168.0,50.74,92,15.82,14.55,108.27,2.0,0.4062129629629629,0,1,149.0,1,45,100.69,-0.9979706176932396
4,6028513,Garaje,15.43,0,0,0,0,7400.0,0.0,905.44,7004.0,7.74,0.07,0.07,0.04,0.04,0.17,0.62,0.01,0.01,0.0,0.06,0.45,0.47,0.51,0.06,0.43,0.31,4.39,3.0,0.0,1133.81,229375.0,654.0,49.95,5.03,863.17,168.0,50.74,3,0.0,0.0,7.5,2.0,0.4062129629629629,0,1,149.0,1,37,100.69,-0.997909165237753
5,6028514,Piso,54.24,1,0,0,0,55200.0,-9.950000000000001,4116.56,1008.0,0.24,0.05,0.05,0.03,0.01,0.03,0.84,0.0,0.0,0.0,0.05,0.52,0.42,0.33,0.0,0.67,0.11,5.69,3.0,0.0,1023.28,85655.94,504.0,47.87,5.02,433.86,24.0,51.69,318,20.41,11.87,41.06,9.0,0.5038132413459211,0,1,853.0,1,46,99.56,-0.988118756095091
6,6028515,Piso,55.9,1,0,0,0,53700.0,-9.9,4116.56,1008.0,0.24,0.05,0.05,0.03,0.01,0.03,0.84,0.0,0.0,0.0,0.05,0.52,0.42,0.33,0.0,0.67,0.11,5.69,3.0,0.0,1023.28,85655.94,504.0,47.87,5.02,433.86,24.0,51.69,39,4.55,18.07,43.17,7.0,0.5210614690320573,0,1,847.0,1,44,99.56,-0.988784852432235
7,6028520,Local,956.98,0,0,0,0,1010000.0,-17.89,2656.34,13767.0,5.18,0.03,0.03,0.11,0.13,0.26,0.43,0.01,0.0,0.0,0.06,0.52,0.4,0.18,0.36,0.45,0.16,5.78,4.5,0.0,925.22,124148.6,1086.0,49.63,4.99,731.75,93.0,51.06,168,0.5,7.26,80.4,7.0,0.5182902272019919,0,1,1729.0,1,45,100.69,-0.9914988694459095
8,6028523,Garaje,22.26,0,0,0,0,5000.0,-19.35,62.22,844.0,13.57,0.0,0.0,0.0,0.32,0.0,0.68,0.0,0.0,0.0,0.02,0.12,0.85,1.0,0.0,0.0,0.16,5.41,3.0,0.0,1095.88,108390.0,21.0,48.34,4.77,557.7,60.0,48.21,7,33.33,50.0,219.17,5.0,0.4412474945533769,0,1,168.0,1,39,96.55000000000001,-0.9979276856799848
9,6028526,Garaje,29.0,0,0,0,0,7000.0,-18.6,1659.27,1908.0,1.15,0.02,0.02,0.24,0.14,0.26,0.32,0.01,0.01,0.01,0.07,0.5,0.41,0.0,1.0,0.0,0.17,4.54,2.5,0.0,1233.44,159396.88,552.0,49.08,4.5,325.0,27.0,52.01,182,35.81,39.51,42.74,1.0,0.4642941176470588,0,1,138.0,1,45,101.09,-0.9984856710473577
10,6028527,Garaje,29.0,0,0,0,0,7000.0,-18.6,1659.27,1908.0,1.15,0.02,0.02,0.24,0.14,0.26,0.32,0.01,0.01,0.01,0.07,0.5,0.41,0.0,1.0,0.0,0.17,4.54,2.5,0.0,1233.44,159396.88,552.0,49.08,4.5,325.0,27.0,52.01,30,30.0,41.0,74.76,1.0,0.4642941176470588,0,1,138.0,1,43,101.09,-0.9984856710473577
11,6028529,Garaje,29.0,0,0,0,0,7800.0,-18.75,1659.27,1908.0,1.15,0.02,0.02,0.24,0.14,0.26,0.32,0.01,0.01,0.01,0.07,0.5,0.41,0.0,1.0,0.0,0.17,4.54,2.5,0.0,1233.44,159396.88,552.0,49.08,4.5,325.0,27.0,52.01,21,0.0,21.43,148.31,1.0,0.4642941176470588,0,1,138.0,1,45,101.09,-0.9983126048813415
12,6028530,Garaje,29.0,0,0,0,0,7800.0,-18.75,1659.27,1908.0,1.15,0.02,0.02,0.24,0.14,0.26,0.32,0.01,0.01,0.01,0.07,0.5,0.41,0.0,1.0,0.0,0.17,4.54,2.5,0.0,1233.44,159396.88,552.0,49.08,4.5,325.0,27.0,52.01,10,0.0,25.0,19.31,1.0,0.4642941176470588,0,1,138.0,1,41,101.09,-0.9983126048813415
13,6028531,Garaje,29.0,0,0,0,0,7800.0,-18.75,1659.27,1908.0,1.15,0.02,0.02,0.24,0.14,0.26,0.32,0.01,0.01,0.01,0.07,0.5,0.41,0.0,1.0,0.0,0.17,4.54,2.5,0.0,1233.44,159396.88,552.0,49.08,4.5,325.0,27.0,52.01,15,5.0,11.67,178.05,2.0,0.4776279956427015,0,1,138.0,1,36,101.09,-0.9983126048813415
14,6028533,Chalet,109.0,1,1,0,0,61900.0,-41.6,1584.15,1572.0,0.99,0.24,0.24,0.11,0.08,0.1,0.22,0.02,0.0,0.0,0.04,0.62,0.31,0.0,0.0,0.0,0.14,4.63,2.0,0.0,972.55,166656.25,72.0,46.08,6.07,575.0,45.0,48.21,1920,32.8,17.37,64.46,8.0,0.4964933278867102,0,1,1128.0,1,41,94.28999999999999,-0.9965924475784323
15,6028534,Casa de pueblo,528.91,2,0,0,1,265000.0,-9.25,3219.56,5914.0,1.84,0.16,0.16,0.21,0.14,0.11,0.23,0.01,0.01,0.01,0.06,0.45,0.45,0.6,0.2,0.2,0.16,5.02,1.0,0.0,896.68,147339.47,1518.0,49.1,5.43,583.77,54.0,51.05,896,30.94,14.94,71.25,10.0,0.5215514161220044,1,1,2027.0,1,46,100.15,-0.996599482670498
16,6028539,Casa de pueblo,154.27,2,0,0,0,63700.0,0.0,148.16,828.0,5.59,0.23,0.23,0.06,0.07,0.1,0.32,0.01,0.03,0.02,0.07,0.57,0.3,0.0,0.0,0.0,0.18,5.41,3.0,0.0,596.81,98434.09,87.0,48.1,4.77,557.7,60.0,48.21,671,18.21,10.71,41.41,5.0,0.5477636165577342,0,1,481.0,1,46,96.31,-0.995805188768793
17,6028541,Chalet,217.37,2,0,0,1,130000.0,-9.09,1363.7,1413.0,1.04,0.19,0.19,0.1,0.05,0.13,0.33,0.01,0.01,0.0,0.1,0.49,0.39,0.0,0.0,0.0,0.15,4.17,3.0,0.0,724.82,131774.19,465.0,48.95,4.34,525.0,6.0,50.41,677,11.64,14.15,62.55,10.0,0.342302614379085,0,1,940.0,1,46,99.36,-0.9954614890082516
18,6028544,Piso,90.32,1,0,0,0,50900.0,-9.11,305.22,1003.0,3.29,0.28,0.28,0.05,0.06,0.09,0.24,0.01,0.0,0.01,0.07,0.44,0.48,0.0,0.0,0.0,0.1,3.88,3.0,0.0,539.92,102333.29,102.0,48.71,5.25,335.0,6.0,51.79,241,6.52,5.19,45.39,10.0,0.4497838779956427,0,1,775.0,1,46,100.5,-0.9944929766670634
19,6028545,Piso,145.42,2,0,0,0,71100.0,-9.08,728.29,1564.0,2.15,0.15,0.15,0.15,0.14,0.11,0.3,0.02,0.02,0.01,0.05,0.41,0.48,0.5,0.0,0.5,0.1,5.41,1.5,0.0,577.33,124376.93,297.0,48.55,4.77,557.7,60.0,48.21,387,33.44,23.2,88.88,9.0,0.5453710965867828,0,1,919.0,1,46,96.75999999999999,-0.9960689766136905
20,6028547,Piso,114.7,2,0,1,1,68000.0,-11.799999999999999,414.31,1372.0,3.31,0.27,0.27,0.11,0.14,0.1,0.12,0.01,0.01,0.01,0.05,0.4,0.53,1.0,0.0,0.0,0.12,5.41,2.0,0.0,564.71,84177.27,621.0,48.6,4.77,557.7,60.0,48.21,251,4.55,5.9,81.24,10.0,0.4549041394335512,0,1,780.0,1,46,96.81,-0.9929571140115193
21,6028575,Casa de pueblo,427.0,1,0,0,1,67600.0,-9.99,6191.48,5928.0,0.96,0.21,0.21,0.16,0.07,0.12,0.23,0.02,0.01,0.01,0.03,0.44,0.49,0.33,0.0,0.67,0.12,5.04,4.5,-1.0,641.38,100072.4,246.0,48.51,3.49,292.0,6.0,53.68,295,13.56,16.65,59.07,5.0,0.5015490196078431,0,1,683.0,1,46,102.19,-0.9984180071894927
22,6028582,Casa de pueblo,167.0,1,0,0,0,83300.0,-9.06,1900.13,501.0,0.26,0.11,0.11,0.06,0.25,0.14,0.33,0.01,0.02,0.0,0.02,0.64,0.31,0.0,0.0,0.0,0.1,5.31,3.0,0.0,483.42,82112.5,12.0,48.21,4.59,447.69,45.0,48.21,288,7.84,13.98,39.15,6.0,0.4069344589687727,0,1,811.0,1,46,96.42,-0.9939253780458568
23,6028585,Piso,211.0,1,0,0,0,186000.0,0.0,53.44,13140.0,245.86,0.19,0.19,0.28,0.1,0.13,0.12,0.04,0.0,0.02,0.02,0.59,0.33,0.23,0.46,0.31,0.18,3.87,3.5,0.0,1324.6,174982.81,1575.0,49.58,6.49,578.96,270.0,51.4,129,8.33,26.94,65.4,8.0,0.37534300108932456,0,1,869.0,1,45,100.97999999999999,-0.9949622675068612
24,6028586,Piso,137.6,1,0,0,0,180000.0,0.0,53.44,13140.0,245.86,0.19,0.19,0.28,0.1,0.13,0.12,0.04,0.0,0.02,0.02,0.59,0.33,0.23,0.46,0.31,0.18,3.87,3.5,0.0,1324.6,174982.81,1575.0,49.58,6.49,578.96,270.0,51.4,94,0.0,10.95,36.38,7.0,0.39321802054155,0,1,869.0,1,46,100.97999999999999,-0.9925241826046586
25,6028590,Chalet,199.4,1,0,0,0,127000.0,-3.05,487.59,626.0,1.28,0.14,0.14,0.05,0.06,0.24,0.37,0.0,0.0,0.0,0.2,0.54,0.25,0.0,0.0,1.0,0.31,2.5,3.0,0.0,930.14,158143.75,126.0,49.58,4.24,617.0,12.0,53.8,107,9.38,9.11,60.42,10.0,0.4923557734204793,0,1,649.0,1,44,103.38,-0.9959725836007014
26,6028594,Piso,90.45,1,0,0,0,84400.0,-3.2099999999999995,101.41,4622.0,45.58,0.01,0.01,0.07,0.14,0.12,0.65,0.01,0.0,0.0,0.06,0.49,0.44,0.8,0.2,0.0,0.17,3.19,3.0,0.0,1467.64,175983.61,504.0,49.4,4.36,360.62,120.0,51.28,1744,48.78,30.98,102.33,10.0,0.4395598039215686,0,1,1176.0,1,46,100.68,-0.9946977322678271
27,6028600,Piso,59.05,2,0,0,0,31500.0,-8.959999999999999,1836.86,306.0,0.17,0.32,0.32,0.13,0.08,0.04,0.1,0.01,0.0,0.0,0.04,0.5,0.45,0.4,0.55,0.05,0.08,5.64,2.0,0.0,597.88,56910.9,138.0,48.94,4.57,524.14,60.0,48.21,514,17.0,10.91,71.52,10.0,0.4572015250544663,0,1,884.0,1,46,97.15,-0.9906266421369759
28,6028601,Piso,42.5,1,0,0,0,28200.0,-9.030000000000001,1836.86,306.0,0.17,0.32,0.32,0.13,0.08,0.04,0.1,0.01,0.0,0.0,0.04,0.5,0.45,0.4,0.55,0.05,0.08,5.64,2.0,0.0,597.88,56910.9,138.0,48.94,4.57,524.14,60.0,48.21,159,4.35,7.32,59.7,10.0,0.456471568627451,1,1,874.0,1,45,97.15,-0.9883409081254257
29,6028625,Piso,123.76,2,0,0,0,78300.0,-9.06,989.5,10648.0,10.76,0.0,0.0,0.12,0.13,0.23,0.51,0.03,0.0,0.0,0.03,0.58,0.35,0.2,0.6,0.2,0.2,6.73,3.0,-1.0,697.2,80227.29,1248.0,49.97,4.59,463.5,27.0,51.67,409,20.21,7.96,54.08,10.0,0.5488946623093682,0,1,1073.0,1,44,101.64,-0.9921139534018658
30,6028626,Piso,80.27,1,0,0,0,48800.0,-8.959999999999999,989.5,10648.0,10.76,0.0,0.0,0.12,0.13,0.23,0.51,0.03,0.0,0.0,0.03,0.58,0.35,0.2,0.6,0.2,0.2,6.73,3.0,-1.0,697.2,80227.29,1248.0,49.97,4.59,463.5,27.0,51.67,82,6.25,8.81,65.86,10.0,0.524151633986928,0,1,1064.0,1,42,101.64,-0.9924221773549914
31,6028628,Piso,80.27,1,0,0,0,48400.0,-9.02,1304.08,8367.0,4.26,0.01,0.01,0.1,0.14,0.18,0.46,0.02,0.0,0.0,0.03,0.54,0.39,0.23,0.26,0.2,0.14,5.31,3.0,0.0,933.06,116817.69,999.0,49.21,4.59,447.69,45.0,51.4,12,10.0,10.0,70.95,10.0,0.524151633986928,0,1,1064.0,1,22,0.0,-0.9948384102343736
32,6028630,Piso,80.72,1,0,0,0,60900.0,-8.97,1304.08,8367.0,4.26,0.01,0.01,0.1,0.14,0.18,0.46,0.02,0.0,0.0,0.03,0.54,0.39,0.23,0.26,0.2,0.14,5.31,3.0,0.0,933.06,116817.69,999.0,49.21,4.59,447.69,45.0,51.4,8,0.0,10.0,67.0,10.0,0.5320165577342049,0,1,1064.0,1,21,0.0,-0.9935415615456121
33,6028631,Piso,79.3,1,0,0,0,48600.0,-9.16,989.5,10648.0,10.76,0.0,0.0,0.12,0.13,0.23,0.51,0.03,0.0,0.0,0.03,0.58,0.35,0.2,0.6,0.2,0.2,6.73,3.0,-1.0,697.2,80227.29,1248.0,49.97,4.59,463.5,27.0,51.67,17,7.69,30.77,24.92,10.0,0.5286125272331155,0,1,1064.0,1,29,101.64,-0.9923609217351256
34,6028639,Chalet,196.72,2,0,0,0,84100.0,0.0,8178.94,11540.0,1.41,0.24,0.24,0.11,0.1,0.09,0.21,0.01,0.0,0.0,0.02,0.55,0.41,0.5,0.25,0.25,0.16,4.89,1.0,0.0,522.47,71767.93,906.0,47.98,3.06,350.0,9.0,51.84,176,9.72,11.86,68.26,10.0,0.5108480392156862,0,1,948.0,1,46,99.82,-0.9940431445715672
