,HY_id,HY_tipo,HY_metros_totales,HY_num_banos,HY_num_terrazas,HY_trastero,HY_num_garajes,HY_precio,% Descuento,IDEA_area,IDEA_poblacion,IDEA_densidad,IDEA_pc_1960,IDEA_pc_1960_69,IDEA_pc_1970_79,IDEA_pc_1980_89,IDEA_pc_1990_99,IDEA_pc_2000_10,IDEA_pc_comercio,IDEA_pc_industria,IDEA_pc_oficina,IDEA_pc_otros,IDEA_pc_residencial,IDEA_pc_trast_parking,IDEA_ind_tienda,IDEA_ind_turismo,IDEA_ind_alimentacion,IDEA_ind_riqueza,IDEA_rent_alquiler,IDEA_ind_elasticidad,IDEA_ind_liquidez,IDEA_unitprice_sale_residential,IDEA_price_sale_residential,IDEA_stock_sale_residential,IDEA_demand_sale_residential,IDEA_unitprice_rent_residential,IDEA_price_rent_residential,IDEA_stock_rent_residential,IDEA_demand_rent_residential,GA_page_views,GA_mean_bounce,GA_exit_rate,TARGET,num_images,image_brightness,piscina,has_image,Num_anun_pro,Num_anunciosCP,im_size,bordes,descr_len,has_description,active_week,indicador_demanda_zona,diff_precio_zona
0,6028499,Garaje,35.0,0,0,0,0,12300.0,0.0,670.87,13372.0,19.93,0.0,0.0,0.0,0.27,0.31,0.41,0.01,0.0,0.0,0.1,0.55,0.34,0.2,0.6,0.2,0.2,4.21,2.0,1.0,1043.31,163841.89,3417.0,48.34,5.09,626.38,237.0,51.01,71,7.14,10.65,32.16,5.0,0.464256862745098,0,1,384.0,3,131984.4,859.2,397.0,1,44,99.35,-0.997855074966307
1,6028500,Casa de pueblo,151.98,2,0,0,0,115000.0,-8.0,2216.24,1507.0,0.68,0.12,0.12,0.18,0.18,0.18,0.22,0.02,0.0,0.0,0.06,0.57,0.35,0.0,0.0,0.0,0.17,4.63,2.0,0.0,708.18,121250.0,33.0,44.72,4.08,700.0,6.0,50.69,684,16.36,5.25,30.71,3.0,0.525781045751634,0,1,534.0,1,26129.33333333333,509.33333333333326,0.0,0,46,95.41,-0.9937593524921211
2,6028502,Piso,102.78,1,0,0,1,88000.0,-5.88,2040.53,5810.0,2.85,0.15,0.15,0.12,0.1,0.11,0.36,0.03,0.05,0.0,0.17,0.59,0.17,0.76,0.08,0.15,0.16,6.52,3.0,0.0,1080.75,144013.8,393.0,49.51,4.43,525.0,15.0,51.82,651,15.12,11.21,63.48,10.0,0.4741996732026143,0,1,794.0,3,313968.2,576.4,226.0,1,46,101.33,-0.9940547523651662
3,6028512,Garaje,12.46,0,0,0,0,5800.0,0.0,905.44,7004.0,7.74,0.07,0.07,0.04,0.04,0.17,0.62,0.01,0.01,0.0,0.06,0.45,0.47,0.51,0.06,0.43,0.31,4.39,3.0,0.0,1133.81,229375.0,654.0,49.95,5.03,863.17,168.0,50.74,92,15.82,14.55,108.27,2.0,0.4062129629629629,0,1,1516.0,20,162590.0,765.5,149.0,1,45,100.69,-0.9979706176932396
4,6028513,Garaje,15.43,0,0,0,0,7400.0,0.0,905.44,7004.0,7.74,0.07,0.07,0.04,0.04,0.17,0.62,0.01,0.01,0.0,0.06,0.45,0.47,0.51,0.06,0.43,0.31,4.39,3.0,0.0,1133.81,229375.0,654.0,49.95,5.03,863.17,168.0,50.74,3,0.0,0.0,7.5,2.0,0.4062129629629629,0,1,1516.0,20,162590.0,765.5,149.0,1,37,100.69,-0.997909165237753
5,6028514,Piso,54.24,1,0,0,0,55200.0,-9.950000000000001,4116.56,1008.0,0.24,0.05,0.05,0.03,0.01,0.03,0.84,0.0,0.0,0.0,0.05,0.52,0.42,0.33,0.0,0.67,0.11,5.69,3.0,0.0,1023.28,85655.94,504.0,47.87,5.02,433.86,24.0,51.69,318,20.41,11.87,41.06,9.0,0.5038132413459211,0,1,1516.0,20,254097.33333333328,484.4444444444445,853.0,1,46,99.56,-0.988118756095091
6,6028515,Piso,55.9,1,0,0,0,53700.0,-9.9,4116.56,1008.0,0.24,0.05,0.05,0.03,0.01,0.03,0.84,0.0,0.0,0.0,0.05,0.52,0.42,0.33,0.0,0.67,0.11,5.69,3.0,0.0,1023.28,85655.94,504.0,47.87,5.02,433.86,24.0,51.69,39,4.55,18.07,43.17,7.0,0.5210614690320573,0,1,1516.0,20,236022.42857142855,482.71428571428567,847.0,1,44,99.56,-0.988784852432235
7,6028520,Local,956.98,0,0,0,0,1010000.0,-17.89,2656.34,13767.0,5.18,0.03,0.03,0.11,0.13,0.26,0.43,0.01,0.0,0.0,0.06,0.52,0.4,0.18,0.36,0.45,0.16,5.78,4.5,0.0,925.22,124148.6,1086.0,49.63,4.99,731.75,93.0,51.06,168,0.5,7.26,80.4,7.0,0.5182902272019919,0,1,1768.0,40,268264.85714285716,667.4285714285714,1729.0,1,45,100.69,-0.9914988694459095
8,6028523,Garaje,22.26,0,0,0,0,5000.0,-19.35,62.22,844.0,13.57,0.0,0.0,0.0,0.32,0.0,0.68,0.0,0.0,0.0,0.02,0.12,0.85,1.0,0.0,0.0,0.16,5.42,3.0,0.0,1095.88,108390.0,21.0,48.34,4.77,557.7,60.0,48.21,7,33.33,50.0,219.17,5.0,0.4412474945533769,0,1,2080.0,101,128575.2,666.0,168.0,1,39,96.55000000000001,-0.9979276856799848
9,6028526,Garaje,29.0,0,0,0,0,7000.0,-18.6,1659.27,1908.0,1.15,0.02,0.02,0.24,0.14,0.26,0.32,0.01,0.01,0.01,0.07,0.5,0.41,0.0,1.0,0.0,0.17,4.54,2.5,0.0,1233.44,159396.88,552.0,49.08,4.5,325.0,27.0,52.01,182,35.81,39.51,42.74,1.0,0.4642941176470588,0,1,1347.0,29,167608.0,1204.0,138.0,1,45,101.09,-0.9984856710473577
